,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
71,CC1CCCC(C)N1CCCCCN1C(=O)C(c2ccccc2Cl)Oc2ccccc21,CHEMBL423149,nM,65000.0,uM,65.0
72,CC1CCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,CHEMBL130569,nM,910.0,uM,0.91
73,O=C1O[C@H]2CCC[C@@H]2[C@@H]1Sc1ccccc1,CHEMBL100989,nM,10.0,nM,10.0
74,CC(=O)O.N=C(N)c1ccc(C[C@H]2C(=O)O[C@H]3CCC[C@@H]32)cc1,CHEMBL323544,nM,16800.0,uM,16.8
75,CC(C)=CC(=O)C[C@@H]1C(=O)O[C@H]2CCCC21,CHEMBL318001,nM,19.0,nM,19.0
76,CC(C)=CC(=O)C[C@@H]1C(=O)O[C@H]2CCC[C@@H]21,CHEMBL101041,nM,21.0,nM,21.0
77,CC1CCCC(C)N1CCCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,CHEMBL424260,nM,5600.0,uM,5.6
78,N=C(N)c1cccc(C2Oc3ccccc3N(CCCCCN3CCOCC3)C2=O)c1,CHEMBL130378,nM,2200.0,uM,2.2
79,CC(C)N(CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21)C(C)C,CHEMBL129854,nM,1200.0,uM,1.2
80,N=C(N)N1CCCC(C[C@@H](NS(=O)(=O)Cc2ccccc2C(=O)O)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)C1.O=C(O)C(F)(F)F,CHEMBL435448,nM,352.0,nM,352.0
81,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2C(=O)OCCCc2ccccc2)c1,CHEMBL44710,nM,660.0,uM,0.66
82,O=C1O[C@H]2CCC[C@@H]2[C@H]1Sc1ccccc1,CHEMBL99622,nM,6.0,nM,6.0
83,C=CC[C@@H]1C(=O)O[C@H]2CCC[C@@H]21,CHEMBL102115,nM,98.0,nM,98.0
84,CCC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3cc(-c4cccc(C(=O)N(CC)CC)c4)ccc3C[C@@H]21,CHEMBL47074,nM,380.0,uM,0.38
85,CCOP(=O)(OCC)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccc(-c4cccc(C(=O)N(CC)CC)c4)cc3C[C@@H]21,CHEMBL46365,nM,3200.0,uM,3.2
86,CC(=O)O[C@@H]1CC[C@]2(C)C3CC[C@@]4(C)[C@H]5[C@@H](C[C@]4(C)C3=CCC2[C@]1(C)C(=O)O)OC(=O)[C@@H]5CC(=O)C=C(C)C,CHEMBL44482,nM,4000.0,uM,4.0
87,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCCO)c2=O)cc1,CHEMBL423521,nM,10000.0,uM,10.0
88,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)cnc(NCCc3ccccc3)c2=O)nc1,CHEMBL335755,nM,3100.0,uM,3.1
89,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccc(C(F)(F)F)cc3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL340945,nM,6300.0,uM,6.3
90,N=C(N)c1ccc(CNC(=O)Cn2c(-c3cccc(NC(=O)C(F)(F)F)c3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL339692,nM,2000.0,uM,2.0
91,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccc(Cl)cc3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL335484,nM,200.0,uM,0.2
92,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCc3ccccc3)c2=O)cc1,CHEMBL133623,nM,7630.0,uM,7.63
93,COc1ccc(-c2c(Cl)nc(NCCc3ccccc3)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2)cc1,CHEMBL130815,nM,4060.0,uM,4.06
94,N=C(N)c1ccc(CNC(=O)Cn2c(-c3cccc(O)c3)c(Cl)nc(NC3CCC3)c2=O)cc1,CHEMBL133009,nM,4250.0,uM,4.25
95,N=C(N)c1ccc(CNC(=O)Cn2c(Cc3ccccc3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL130537,nM,4000.0,uM,4.0
96,Cc1c(C)c(S(=O)(=O)NCC(=O)NC(Cc2ccc3c(N)nccc3c2)C(=O)N2CCCCC2)c(C)c2c1OC(C)(C)CC2,CHEMBL350114,nM,28000.0,uM,28.0
97,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c2=O)cc1,CHEMBL336074,nM,18900.0,uM,18.9
98,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3C(F)(F)F)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL338322,nM,8600.0,uM,8.6
99,CCC(CC)Nc1nc(Cl)c(-c2cc(N)cc(C(=O)O)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL336977,nM,3210.0,uM,3.21
100,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCCN)c2=O)cc1,CHEMBL130371,nM,13000.0,uM,13.0
101,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NC3CCS(=O)(=O)C3)c2=O)cc1,CHEMBL335171,nM,10000.0,uM,10.0
102,C=CCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL436370,nM,8700.0,uM,8.7
103,CC(C)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL130178,nM,4000.0,uM,4.0
104,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3Cl)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL130812,nM,2100.0,uM,2.1
105,CCCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL131601,nM,5200.0,uM,5.2
106,CCCCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL128685,nM,27900.0,uM,27.9
107,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NC3CCC3)c2=O)cc1,CHEMBL131878,nM,4600.0,uM,4.6
108,CC(C)(C)C1CCC(Nc2nc(Cl)c(-c3ccccc3)n(CC(=O)NCc3ccc(C(=N)N)cc3)c2=O)CC1,CHEMBL339732,nM,15000.0,uM,15.0
109,CC(C)Nc1nc(Cl)c(-c2cccc(C(=O)O)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL131473,nM,2800.0,uM,2.8
110,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(N3CCCC3)c2=O)cc1,CHEMBL131521,nM,20000.0,uM,20.0
111,CCCC(CCC)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL337278,nM,2100.0,uM,2.1
